"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/hinton/yhtca/hoteldetail","Holiday Inn Hinton","393 Gregg Avenue","Hinton","Alberta","T7V1N1","CA","yhtca","1-780-8653321","Hotel","53.39795","-117.59585","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/lethbridge/yqlhi/hoteldetail","Holiday Inn Lethbridge","2375 MAYOR MAGRATH DRIVE SOUTH","Lethbridge","Alberta","T1K 7M1","CA","yqlhi","1-403-3805050","Hotel","49.67046","-112.79907","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/lloydminster/yllsk/hoteldetail","Holiday Inn & Suites Lloydminster","5612 44th Street","Lloydminster","Alberta","T9V 0B6","CA","yllsk","1-780-8705050","Hotel","53.278029","-110.020358","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/red-deer/yrdws/hoteldetail","Holiday Inn & Suites Red Deer South","33 Petrolia Drive – Gasoline Alley","Red Deer County","Alberta","T4E 1B3","CA","yrdws","1-403-3488485","Hotel","52.223328","-113.813766","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/kamloops/ykabc/hoteldetail","Holiday Inn & Suites Kamloops","675 Tranquille Road","Kamloops","British Columbia","V2B 3J1","CA","ykabc","1-250-3768288","Hotel","50.696956","-120.361024","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/north-vancouver/yvrnv/hoteldetail","Holiday Inn & Suites North Vancouver","700 Old Lillooet Road","North Vancouver","British Columbia","V7J2H5","CA","yvrnv","1-604-9853111","Hotel","49.31322","-123.02762","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/vancouver/yvrdt/hoteldetail","Holiday Inn & Suites Vancouver Downtown","1110 Howe Street","Vancouver","British Columbia","V6Z1R2","CA","yvrdt","1-604-6842151","Hotel","49.27882","-123.12552","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/vancouver/yvrbw/hoteldetail","Holiday Inn Vancouver-Centre (Broadway)","711 W. Broadway @ Heather Street","Vancouver","British Columbia","V5Z3Y2","CA","yvrbw","1-604-8790511","Hotel","49.26328","-123.11974","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/richmond/yvrap/hoteldetail","Holiday Inn Vancouver Airport- Richmond","10720 Cambie Road","Richmond","British Columbia","V6X1K8","CA","yvrap","1-604-8211818","Hotel","49.1845","-123.106","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/surrey/yvrsy/hoteldetail","Holiday Inn & Suites Surrey East - Cloverdale","17530 64th Ave.","Surrey","British Columbia","V3S 1Y9","CA","yvrsy","1-604-5768862","Hotel","49.118719","-122.73704","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/osoyoos/ysyca/hoteldetail","Holiday Inn & Suites Osoyoos","7906 Main St., P.O. Box 1019","Osoyoos","British Columbia","V0H 1V0","CA","ysyca","1-250-4957223","Hotel","49.0285","-119.4575","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/winnipeg/ywgcs/hoteldetail","Holiday Inn & Suites Winnipeg-Downtown","360 Colony Street","Winnipeg","Manitoba","R3B 2P3","CA","ywgcs","1-204-7867011","Hotel","49.89103","-97.15094","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/winnipeg/ywgso/hoteldetail","Holiday Inn Winnipeg-South","1330 Pembina Hwy","Winnipeg","Manitoba","R3T2B4","CA","ywgso","1-204-4524747","Hotel","49.83973","-97.15203","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/winnipeg/ywgap/hoteldetail","Holiday Inn Winnipeg - Airport West","2520 Portage Ave.","Winnipeg","Manitoba","R3J3T6","CA","ywgap","1-204-8854478","Hotel","49.8748","-97.2585","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/st-johns/yytca/hoteldetail","Holiday Inn St. John's Conference Centre","180 Portugal Cove Road","St. Johns","Newfoundland and","A1B 2N2","CA","yytca","1-709-7220506","Hotel","47.5894","-52.7188","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/sydney/yqyhi/hoteldetail","Holiday Inn Sydney - Waterfront","300 Esplanade","Sydney","Nova Scotia","B1P 1A7","CA","yqyhi","1-902-5627500","Hotel","46.13834","-60.195874","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/barrie/yrrca/hoteldetail","Holiday Inn Barrie-Hotel & Conference Ctr","20 Fairview Road","Barrie","Ontario","L4N 4P3","CA","yrrca","1-705-7220555","Hotel","44.36185","-79.695057","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/burlington/yurca/hoteldetail","Holiday Inn Burlington-Hotel & Conf Centre","3063 South Service Rd.","Burlington","Ontario","L7N3E9","CA","yurca","1-905-6394443","Hotel","43.353431","-79.800009","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/oakville/yyzov/hoteldetail","Holiday Inn & Suites Oakville @ Bronte","2525 Wyecroft Road","Oakville","Ontario","L6L6P8","CA","yyzov","1-905-8471000","Hotel","43.407958","-79.735015","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/oakville/yyzok/hoteldetail","Holiday Inn Oakville (Centre)","590 Argus Road","Oakville","Ontario","L6J 3J3","CA","yyzok","1-905-8425000","Hotel","43.458091","-79.684596","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/mississauga/msgon/hoteldetail","Holiday Inn & Suites Mississauga West - Meadowvale","2565 Argentia Road","Mississauga","Ontario","L5N5V4","CA","msgon","1-905-5422121","Hotel","43.602","-79.758","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/mississauga/yyzto/hoteldetail","Holiday Inn Mississauga Toronto West","100 Britannia Road East","Mississauga","Ontario","L4Z2G1","CA","yyzto","1-905-8905700","Hotel","43.628303","-79.677284","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/guelph/yguca/hoteldetail","Holiday Inn Guelph Hotel & Conference Ctr","601 Scottsdale Drive","Guelph","Ontario","N1G3E7","CA","yguca","1-519-8360231 +0","Hotel","43.51634","-80.24043","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/toronto/yyzia/hoteldetail","Holiday Inn Toronto International Airport","970 Dixon Road, Rexdale","Toronto","Ontario","M9W1J9","CA","yyzia","1-416-6757611","Hotel","43.6867","-79.5994","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/toronto/yyzae/hoteldetail","Holiday Inn Toronto-Airport East","600 Dixon Road","Toronto","Ontario","M9W 1J1","CA","yyzae","1-416-2407511 +0","Hotel","43.69254","-79.57296","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/st-catharines/ycmsa/hoteldetail","Holiday Inn & Suites St. Catharines Conf Ctr","327 Ontario Street","St. Catharines","Ontario","L2R5L3","CA","ycmsa","1-905-6882324","Hotel","43.170008","-79.26444","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/kanata/yowow/hoteldetail","Holiday Inn & Suites Ottawa Kanata","101 Kanata Avenue","Kanata","Ontario","K2T 1E6","CA","yowow","1-613-2713057","Hotel","45.3111","-75.9075","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/ottawa/yowqs/hoteldetail","Holiday Inn Ottawa Dwtn - Parliament Hill","402 Queen Street","Ottawa","Ontario","K1R5A7","CA","yowqs","1-613-2361133","Hotel","45.417713","-75.7066866","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/gatineau/yowgn/hoteldetail","Holiday Inn Gatineau – Ottawa","7 boulevard du Casino","Gatineau","<MISSING>","J8Y 6V7","CA","yowgn","<MISSING>","Hotel","45.448291","-75.72954899999999","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/ottawa/yowoe/hoteldetail","Holiday Inn Ottawa East","1199 Joseph Cyr Street","Ottawa","Ontario","K1J 7T4","CA","yowoe","1-613-7441060","Hotel","45.422468","-75.634908","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/kingston/ygkca/hoteldetail","Holiday Inn Kingston-Waterfront","2 Princess Street","Kingston","Ontario","K7L1A2","CA","ygkca","1-613-5498400","Hotel","44.2311","-76.4791","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/london/yxulo/hoteldetail","Holiday Inn & Suites London","855 Wellington Road South","London","Ontario","N6E 3N5","CA","yxulo","1-519-6687900","Hotel","42.942554","-81.225704","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/toronto/yyzct/hoteldetail","Holiday Inn Toronto Downtown Centre","30 Carlton Street","Toronto","Ontario","M5B 2E9","CA","yyzct","1-416-9776655","Hotel","43.661405","-79.381431","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/niagara-falls/iagon/hoteldetail","Holiday Inn Niagara Falls - by the Falls","5339 Murray Street","Niagara Falls","Ontario","L2G 2J3","CA","iagon","1-905-3561333 +100","Hotel","43.0836","-79.0828","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/peterborough/ypqca/hoteldetail","Holiday Inn Peterborough-Waterfront","150 George St","Peterborough","Ontario","K9J 3G5","CA","ypqca","1-705-7431144","Hotel","44.2995","-78.3194","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/sudbury/ysbrs/hoteldetail","Holiday Inn Sudbury","1696 Regent Street","Sudbury","Ontario","P3E 3Z8","CA","ysbrs","1-705-5223000","Hotel","46.456098","-81.006582","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/windsor/yqgca/hoteldetail","Holiday Inn & Suites Windsor (Ambassador Bridge)","1855 Huron Church Road","Windsor","Ontario","N9C2L6","CA","yqgca","1-519-9661200","Hotel","42.2807","-83.0537","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/laval/ymqlv/hoteldetail","Holiday Inn Laval - Montreal","2900 Boul Le Carrefour","Laval","Quebec","H7T 2K9","CA","ymqlv","1-450-6829000","Hotel","45.56933","-73.74799","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/montreal/yulca/hoteldetail","Holiday Inn Montreal Centreville Downtown","999 rue Saint-Urbain","Montreal","Quebec","H2Z 0B4","CA","yulca","1-514-8789888","Hotel","45.506836","-73.559525","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/montreal/yulcc/hoteldetail","Holiday Inn & Suites Montreal Centre-ville Ouest","1390, boulevard René-Lévesque Ouest","Montreal","Quebec","H3G 0E3","CA","yulcc","1-514-9357999","Hotel","45.495306","-73.573001","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/longueuil/yulln/hoteldetail","Holiday Inn Montreal-Longueuil","900 Rue St. Charles East","Longueuil","Quebec","J4H 3Y2","CA","yulln","1-450-6468100","Hotel","45.5501","-73.49968","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/pointe-claire/yulpc/hoteldetail","Holiday Inn & Suites Pointe-Claire Montreal Airport","6700 Trans Canada","Pointe Claire","Quebec","H9R1C2","CA","yulpc","1-514-6977110","Hotel","45.462","-73.826","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/regina/yqrrs/hoteldetail","Holiday Inn & Suites Regina","1800 Prince of Wales Drive","Regina","Saskatchewan","S4Z 1A4","CA","yqrrs","1-306-7893883","Hotel","50.4495","-104.533","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/saskatoon/yxeid/hoteldetail","Holiday Inn Saskatoon Downtown","101 Pacific Avenue","Saskatoon","Saskatchewan","S7K 1N8","CA","yxeid","1-306-9865000","Hotel","52.12932","-106.6681","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/birmingham/bhmap/hoteldetail","Holiday Inn Birmingham-Airport","5000 Richard Arrington Jr Blvd N","Birmingham","Alabama","35212","US","bhmap","1-205-9091999","Hotel","33.5434","-86.761396","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/hoover/bhmgb/hoteldetail","Holiday Inn Birmingham - Hoover","2901 JOHN HAWKINS PARKWAY","Hoover","Alabama","35244","US","bhmgb","1-205-6822901","Hotel","33.369844","-86.81716","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/guin/habex/hoteldetail","Holiday Inn Guin","5750 Highway 44","Guin","Alabama","35563","US","habex","1-205-4684625","Hotel","34.010892","-87.839683","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/huntsville/hsvrp/hoteldetail","Holiday Inn Huntsville-Research Park","5903 University Dr.","Huntsville","Alabama","35806","US","hsvrp","1-256-8300600","Hotel","34.740904","-86.666219","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/mobile/mobhi/hoteldetail","Holiday Inn Mobile-Dwtn/Hist. District","301 Government Street","Mobile","Alabama","36602","US","mobhi","1-251-6940100","Hotel","30.689176","-88.044046","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/mobile/mobar/hoteldetail","Holiday Inn Mobile - Airport","3630 Springhill Memorial Dr South","Mobile","Alabama","36608","US","mobar","1-251-3447446","Hotel","30.680378","-88.128645","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/mobile/mobtl/hoteldetail","Holiday Inn Mobile West - I-10","5465 Hwy 90 W, Government Blvd","Mobile","Alabama","36619","US","mobtl","1-251-6665600","Hotel","30.585865","-88.169783","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/montgomery/mgmhs/hoteldetail","Holiday Inn Montgomery Airport South","96 Folmar Parkway","Montgomery","Alabama","36105","US","mgmhs","1-334-2883858","Hotel","32.268573","-86.357231","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/casa-grande/csaaz/hoteldetail","Holiday Inn Casa Grande","777 North Pinal Avenue","Casa Grande","Arizona","85122","US","csaaz","1-520-4263500","Hotel","32.880369","-111.757289","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/chandler/phxch/hoteldetail","Holiday Inn Phoenix - Chandler","1200 West Ocotillo Road","Chandler","Arizona","85248","US","phxch","1-480-2032121","Hotel","33.2476","-111.872","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/mesa/phxme/hoteldetail","Holiday Inn & Suites Phoenix-Mesa/Chandler","1600 South Country Club Drive","Mesa","Arizona","85210","US","phxme","1-480-9647000","Hotel","33.385489","-111.840169","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/phoenix/phxaa/hoteldetail","Holiday Inn & Suites Phoenix Airport","3220 S. 48th Street","Phoenix","Arizona","85040","US","phxaa","1-480-5431700","Hotel","33.418326","-111.978712","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/phoenix/phxff/hoteldetail","Holiday Inn & Suites Phoenix Airport North","1515 North 44th Street","Phoenix","Arizona","85008","US","phxff","1-602-2448800","Hotel","33.46439","-111.98703","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/scottsdale/phxsa/hoteldetail","Holiday Inn & Suites Scottsdale North - Airpark","14255 North 87th Street","Scottsdale","Arizona","85260","US","phxsa","1-480-9226500","Hotel","33.614517","-111.893695","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/phoenix/phxaz/hoteldetail","Holiday Inn Phoenix-West","1500 North 51st Avenue","Phoenix","Arizona","85043","US","phxaz","1-602-4849009","Hotel","33.464711","-112.169212","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/glendale/phxbh/hoteldetail","Holiday Inn Glendale - Stadium & Ent Dist","6151 North 99th Avenue","Glendale","Arizona","85305","US","phxbh","1-602-6035800","Hotel","33.525843","-112.27183","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/chinle/chnaz/hoteldetail","Holiday Inn Canyon De Chelly (Chinle)","Bia Route 7-Garcia Trading Post","Chinle","Arizona","86503","US","chnaz","1-928-6745000","Hotel","36.1065","-109.5477","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/goodyear/phxnd/hoteldetail","Holiday Inn & Suites Goodyear - West Phoenix Area","1188 N. Dysart Road","Goodyear","Arizona","85395","US","phxnd","1-623-5471313","Hotel","33.459476","-112.3411","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/yuma/yumaz/hoteldetail","Holiday Inn Yuma","1901 E. 18th Street","Yuma","Arizona","85365","US","yumaz","1-928-7829300","Hotel","32.6942","-114.6004","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/blytheville/byhar/hoteldetail","Holiday Inn Blytheville","1121 East Main","Blytheville","Arkansas","72315","US","byhar","1-870-7635800","Hotel","35.927304","-89.892142","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/jonesboro/jbrst/hoteldetail","Holiday Inn Jonesboro","2908 Gilmore Drive","Jonesboro","Arkansas","72401","US","jbrst","1-870-3335100","Hotel","35.808936","-90.673691","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/little-rock/litlr/hoteldetail","Holiday Inn Little Rock-Presidential-Dwntn","600 Interstate 30","Little Rock","Arkansas","72202","US","litlr","1-501-3752100","Hotel","34.7418219","-92.2637317","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/little-rock/liteb/hoteldetail","Holiday Inn Little Rock-Airport-Conf Ctr","3201 Bankhead Dr.","Little Rock","Arkansas","72206","US","liteb","1-501-4901000","Hotel","34.715135","-92.224234","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/little-rock/litis/hoteldetail","Holiday Inn Little Rock West - Chenal Pkwy","10920 Financial Centre Parkway","Little Rock","Arkansas","72211","US","litis","1-501-2251075","Hotel","34.7515","-92.4149","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/rogers/rgghs/hoteldetail","Holiday Inn & Suites Bentonville - Rogers","1803 S. 52nd Street","Rogers","Arkansas","72758","US","rgghs","1-479-8451300","Hotel","36.328786","-94.186447","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/springdale/spdar/hoteldetail","Holiday Inn Springdale/Fayetteville Area","1500 South 48th Street","Springdale","Arkansas","72762","US","spdar","1-479-7518300","Hotel","36.1718","-94.1836","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/texarkana/txkhi/hoteldetail","Holiday Inn Texarkana Arkansas Conv Ctr","5200 Convention Plaza Drive","Texarkana","Arkansas","71854","US","txkhi","1-870-2162000","Hotel","33.472367","-94.036719","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/anaheim/laxaw/hoteldetail","Holiday Inn & Suites Anaheim (1 Blk/Disneyland®)","1240 South Walnut","Anaheim","California","92802","US","laxaw","1-714-5350300","Hotel","33.816612","-117.928299","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/buena-park/laxbp/hoteldetail","Holiday Inn Buena Park-Near Knott's","7000 Beach Boulevard","Buena Park","California","90620","US","laxbp","1-714-5227000","Hotel","33.858989","-117.997995","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/la-mirada/laxlm/hoteldetail","Holiday Inn La Mirada","14299 Firestone Blvd","La Mirada","California","90638","US","laxlm","1-714-7398500","Hotel","33.8846","-118.027099","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/santa-ana/jwaca/hoteldetail","Holiday Inn Santa Ana-Orange Co. Arpt","2726 South Grand Avenue","Santa Ana","California","92705","US","jwaca","1-714-4816300","Hotel","33.709768","-117.85129","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/diamond-bar/laxdb/hoteldetail","Holiday Inn Diamond Bar - Pomona","21725 E. Gateway Center Drive","Diamond Bar","California","91765","US","laxdb","1-909-8605440","Hotel","33.999853","-117.835262","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/long-beach/laxlb/hoteldetail","Holiday Inn Long Beach Airport","2640 North Lakewood Boulevard","Long Beach","California","90815","US","laxlb","1-562-5974401","Hotel","33.803441","-118.142599","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/west-covina/laxwc/hoteldetail","Holiday Inn West Covina","3223 East Garvey Avenue North","West Covina","California","91791","US","laxwc","1-626-9668311","Hotel","34.072156","-117.87563","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/el-monte/burem/hoteldetail","Holiday Inn El Monte - Los Angeles","9920 Valley Blvd","El Monte","California","91731","US","burem","1-626-4341688","Hotel","34.0792576","-118.05506","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/torrance/trrca/hoteldetail","Holiday Inn Los Angeles Gateway - Torrance","19800 S Vermont","Torrance","California","90502","US","trrca","1-310-7819100","Hotel","33.8516","-118.2905","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/laguna-beach/laxlg/hoteldetail","Holiday Inn Laguna Beach","696 South Coast Highway","Laguna Beach","California","92651","US","laxlg","1-949-4941001","Hotel","33.537691","-117.77965","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/ontario/ontha/hoteldetail","Holiday Inn Ontario Airport","2155 E. Convention Center Way","Ontario","California","91764","US","ontha","1-909-2128000","Hotel","34.0654","-117.605","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/los-angeles/laxia/hoteldetail","Holiday Inn Los Angeles - LAX Airport","9901 S  La Cienega Boulevard","Los Angeles","California","90045","US","laxia","1-310-6495151","Hotel","33.946064","-118.370056","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/auburn/aubca/hoteldetail","Holiday Inn Auburn","120 Grass Valley Highway","Auburn","California","95603","US","aubca","1-530-8878787 +400","Hotel","38.901561","-121.075444","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/rancho-cordova/mhrrc/hoteldetail","Holiday Inn Sacramento Rancho Cordova","11269 Point East Drive","Rancho Cordova","California","95742","US","mhrrc","1-916-6354040","Hotel","38.607988","-121.267626","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/bakersfield/bkrrh/hoteldetail","Holiday Inn & Suites Bakersfield","3927 Marriott Drive","Bakersfield","California","93308","US","bkrrh","1-661-3778000","Hotel","35.380474","-119.051074","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/victorville/vcvca/hoteldetail","Holiday Inn Victorville","15494 Palmdale Rd","Victorville","California","92392","US","vcvca","1-760-2456565","Hotel","34.507118","-117.325551","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/burbank/laxbb/hoteldetail","Holiday Inn Burbank-Media Center","150 East Angeleno","Burbank","California","91502","US","laxbb","1-818-8414770","Hotel","34.17951","-118.308307","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/palmdale/pdlca/hoteldetail","Holiday Inn Palmdale-Lancaster","38630 5th Street West","Palmdale","California","93551","US","pdlca","1-661-9478055","Hotel","34.5836","-118.1386","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/carlsbad/ocnhi/hoteldetail","Holiday Inn Carlsbad - San Diego","2725 Palomar Airport Road","Carlsbad","California","92009","US","ocnhi","1-760-4382725","Hotel","33.13004","-117.264137","<MISSING>"
"holidayinn.com","https://www.ihg.com/holidayinn/hotels/us/en/oceanside/ocnpc/hoteldetail","Holiday Inn Oceanside Camp Pendleton Area","1401 Carmelo Drive","Oceanside","California","92054","US","ocnpc","1-760-2317000","Hotel","33.20765","-117.38786","<MISSING>"
